aomar,CENAmrita,CICIPN,CIMATGTO,CIMATMTYGTO,DCCDINFOTEC,Dong,HugoJair,y,NLPCIC,Qu,Timen,UMUTeam,villacu67,xjywing
1,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,1,1,0,0,0,1,1,1,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,0,1,1,0,0,1,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,1,0,0,0,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,1,1,1,1,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,1,0,1,1,1,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,1,1,0,1,1,0
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
1,1,0,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
1,1,1,0,1,1,0,0,1,0,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,1,1,1,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,0,1,1,0,1,0,1,1,1,0,1,1,0
1,1,0,1,1,0,0,0,1,1,1,1,0,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,1,1,0,0,1,1,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
1,1,0,1,1,0,1,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,1,0,1,1,0,1
1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
